Financial Year,Room Type,Town,Latitude,Longitude,Remaining Lease,Distance From Nearest Hawker,Distance From Nearest Park,Distance To Nearest Mall,Distance To Nereast School,Hawker,School,Shopping Mall,Max Selling Price,Min Selling Price,Average Selling Price
1/1/2019,1,Punggol,1.404546728,103.902052,97,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,173000,109000,141000
1/1/2019,2,Punggol,1.404546728,103.902052,97,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,268000,205000,236500
1/1/2019,3,Punggol,1.404546728,103.902052,97,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,398000,287000,342500
1/1/2019,4,Punggol,1.404546728,103.902052,97,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,551000,423000,487000
1/1/2008,1,Bukit Panjang,1.379002117,103.7615559,86,4.6463846,0.590856146,0.172488468,0.526590535,Bukit Timah Market,West View Primary School,Hillion Mall,106000,82000,94000
1/1/2008,2,Bukit Panjang,1.379002117,103.7615559,86,4.6463846,0.590856146,0.172488468,0.526590535,Bukit Timah Market,West View Primary School,Hillion Mall,170000,138000,154000
1/1/2008,3,Bukit Panjang,1.379002117,103.7615559,86,4.6463846,0.590856146,0.172488468,0.526590535,Bukit Timah Market,West View Primary School,Hillion Mall,270000,211000,240500
1/1/2009,1,Bukit Panjang,1.379002117,103.7615559,87,4.6463846,0.590856146,0.172488468,0.526590535,Bukit Timah Market,West View Primary School,Hillion Mall,94000,72000,83000
1/1/2009,2,Bukit Panjang,1.379002117,103.7615559,87,4.6463846,0.590856146,0.172488468,0.526590535,Bukit Timah Market,West View Primary School,Hillion Mall,157000,125000,141000
1/1/2009,3,Bukit Panjang,1.379002117,103.7615559,87,4.6463846,0.590856146,0.172488468,0.526590535,Bukit Timah Market,West View Primary School,Hillion Mall,250000,210000,230000
1/1/2010,1,Bukit Panjang,1.379002117,103.7615559,88,4.6463846,0.590856146,0.172488468,0.526590535,Bukit Timah Market,West View Primary School,Hillion Mall,119000,83000,101000
1/1/2010,2,Bukit Panjang,1.379002117,103.7615559,88,4.6463846,0.590856146,0.172488468,0.526590535,Bukit Timah Market,West View Primary School,Hillion Mall,191000,143000,167000
1/1/2010,3,Bukit Panjang,1.379002117,103.7615559,88,4.6463846,0.590856146,0.172488468,0.526590535,Bukit Timah Market,West View Primary School,Hillion Mall,312000,226000,269000
1/1/2010,4,Bukit Panjang,1.379002117,103.7615559,88,4.6463846,0.590856146,0.172488468,0.526590535,Bukit Timah Market,West View Primary School,Hillion Mall,398000,298000,348000
1/1/2011,2,Bukit Panjang,1.379002117,103.7615559,89,4.6463846,0.590856146,0.172488468,0.526590535,Bukit Timah Market,West View Primary School,Hillion Mall,189000,137000,163000
1/1/2011,3,Bukit Panjang,1.379002117,103.7615559,89,4.6463846,0.590856146,0.172488468,0.526590535,Bukit Timah Market,West View Primary School,Hillion Mall,298000,217000,257500
1/1/2011,4,Bukit Panjang,1.379002117,103.7615559,89,4.6463846,0.590856146,0.172488468,0.526590535,Bukit Timah Market,West View Primary School,Hillion Mall,386000,274000,330000
1/1/2016,1,Bukit Panjang,1.379002117,103.7615559,94,4.6463846,0.590856146,0.172488468,0.526590535,Bukit Timah Market,West View Primary School,Hillion Mall,139000,73000,106000
1/1/2016,2,Bukit Panjang,1.379002117,103.7615559,94,4.6463846,0.590856146,0.172488468,0.526590535,Bukit Timah Market,West View Primary School,Hillion Mall,210000,147000,178500
1/1/2016,3,Bukit Panjang,1.379002117,103.7615559,94,4.6463846,0.590856146,0.172488468,0.526590535,Bukit Timah Market,West View Primary School,Hillion Mall,336000,239000,287500
1/1/2016,4,Bukit Panjang,1.379002117,103.7615559,94,4.6463846,0.590856146,0.172488468,0.526590535,Bukit Timah Market,West View Primary School,Hillion Mall,410000,315000,362500
1/1/2008,2,Woodlands,1.436875128,103.7864999,86,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,164000,116000,140000
1/1/2008,2,Woodlands,1.436066981,103.7879451,86,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,164000,116000,140000
1/1/2008,3,Woodlands,1.436875128,103.7864999,86,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,257000,184000,220500
1/1/2008,3,Woodlands,1.436066981,103.7879451,86,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,257000,184000,220500
1/1/2008,4,Woodlands,1.436875128,103.7864999,86,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,296000,247000,271500
1/1/2008,4,Woodlands,1.436066981,103.7879451,86,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,296000,247000,271500
1/1/2009,2,Woodlands,1.436875128,103.7864999,87,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,175000,141000,158000
1/1/2009,2,Woodlands,1.436066981,103.7879451,87,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,175000,141000,158000
1/1/2009,3,Woodlands,1.436875128,103.7864999,87,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,288000,228000,258000
1/1/2009,3,Woodlands,1.436066981,103.7879451,87,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,288000,228000,258000
1/1/2010,1,Woodlands,1.436875128,103.7864999,88,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,105000,78000,91500
1/1/2010,1,Woodlands,1.436066981,103.7879451,88,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,105000,78000,91500
1/1/2010,2,Woodlands,1.436875128,103.7864999,88,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,168000,136000,152000
1/1/2010,2,Woodlands,1.436066981,103.7879451,88,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,168000,136000,152000
1/1/2010,3,Woodlands,1.436875128,103.7864999,88,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,280000,224000,252000
1/1/2010,3,Woodlands,1.436066981,103.7879451,88,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,280000,224000,252000
1/1/2010,4,Woodlands,1.436875128,103.7864999,88,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,328000,270000,299000
1/1/2010,4,Woodlands,1.436066981,103.7879451,88,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,328000,270000,299000
1/1/2012,3,Woodlands,1.436875128,103.7864999,90,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,312000,248000,280000
1/1/2012,3,Woodlands,1.436066981,103.7879451,90,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,312000,248000,280000
1/1/2012,4,Woodlands,1.436875128,103.7864999,90,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,381000,308000,344500
1/1/2012,4,Woodlands,1.436066981,103.7879451,90,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,381000,308000,344500
1/1/2013,1,Woodlands,1.436875128,103.7864999,91,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,118000,73000,95500
1/1/2013,1,Woodlands,1.436066981,103.7879451,91,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,118000,73000,95500
1/1/2013,2,Woodlands,1.436875128,103.7864999,91,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,183000,133000,158000
1/1/2013,2,Woodlands,1.436066981,103.7879451,91,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,183000,133000,158000
1/1/2013,3,Woodlands,1.436875128,103.7864999,91,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,298000,223000,260500
1/1/2013,3,Woodlands,1.436066981,103.7879451,91,1.466915766,0.97161857,0.215360502,0.429767738,Blks 20/21 Marsiling Lane,Woodgrove Primary School,Causeway Point,298000,223000,260500
